id,label,inclusiveness_score,specificity_score,concreteness_score
1_1,石破政権の短命化と退陣に関する憶測と批判,5,5,4
1_10,選挙結果に対する多様な反応と疑問,4,3,3
1_11,選挙結果に関する情報の信憑性と確認の必要性,4,5,4
1_12,TBSの選挙特番と日本シリーズ同時放送に対する視聴者の多様な反応,4,5,4
1_13,低投票率に対する懸念とその影響に関する多角的な意見,4,3,3
1_14,選挙に対する多様な関心と反応,5,3,3
1_15,衆議院選挙における候補者の当落に対する多様な感情と意見,5,4,4
1_2,衆院選における過半数割れの可能性とその影響に関する懸念と期待,5,4,4
1_3,自民・公明連立の過半数割れに関する不安と期待,5,4,4
1_4,立憲民主党と国民民主党の略称重複による選挙混乱と公平性への懸念,2,3,3
1_5,れいわ新選組の選挙躍進とその影響に対する多様な反応,4,5,4
1_6,衆院選における政権交代の可能性とその影響に関する多様な意見,5,4,4
1_7,自民党に対する支持と批判の多様な視点,5,4,4
1_8,自民党の議席減少と政局への影響に関する多様な意見,4,3,4
1_9,立憲民主党の躍進と地域別選挙動向,3,3,4
