id,label,inclusiveness_score,specificity_score,concreteness_score
1_1,石破政権の短命化と退陣に関する憶測と意見,5,5,4
1_10,選挙結果に対する多様な反応と意見,5,4,4
1_11,選挙結果に関する不確実性と情報の信頼性,4,4,3
1_12,TBSの放送編成に対する視聴者の意見と要望,5,4,4
1_13,日本の選挙における投票率の低さとその影響に関する懸念,5,4,4
1_14,選挙に対する関心と報道への期待,4,3,3
1_15,衆院選における当選・落選に関する多様な意見,5,4,3
1_2,衆院選後の連立政権と過半数割れへの関心,5,4,4
1_3,自民党と公明党の過半数割れに関する懸念と期待,5,4,4
1_4,略称『民主党』の混乱と公平性への懸念,4,3,4
1_5,れいわ新選組の議席増加に対する驚きと期待,5,5,4
1_6,政権交代に対する期待と不安,5,4,4
1_7,自民党に対する複雑な感情と選挙への不満,4,3,3
1_8,自民党の議席減少に対する多様な反応とその影響,3,3,3
1_9,立憲民主党の躍進と選挙結果に対する地域別の反応,3,3,4
