id,label,inclusiveness_score,specificity_score,concreteness_score
1_1,石破氏の政権運営と退陣に関する懸念と批判,5,4,4
1_10,選挙結果に対する多様な反応と疑問,4,3,3
1_11,選挙結果に関する不確実性と情報の信頼性,4,4,3
1_12,TBSのプロ野球と選挙同時中継に対する視聴者の多様な意見,3,4,3
1_13,低投票率と政治への関心の低さに対する懸念と提案,4,4,3
1_14,選挙に対する多様な関心と意見の集まり,5,3,4
1_15,衆院選における落選候補者への注目と意見,3,3,2
1_2,衆院選後の政権構成と過半数割れへの関心,5,4,4
1_3,自民党と公明党の過半数確保に対する不安と期待,5,4,4
1_4,民主党略称問題による投票混乱と公平性への懸念,3,4,3
1_5,れいわ新選組の議席獲得に対する多様な意見と期待,5,4,4
1_6,政権交代に対する多様な意見と関心,4,3,3
1_7,自民党政権に対する批判と政権交代への期待,5,4,4
1_8,自民党の議席減少に対する多様な反応と期待,3,3,2
1_9,地域ごとの選挙結果と政党の勢力図,5,4,5
