id,label,inclusiveness_score,specificity_score,concreteness_score
1_1,石破政権の短命化と責任問題に関する議論,5,5,4
1_10,衆院選における当選者への多様な反応と意見,5,4,4
1_11,選挙結果に関する不確実性と情報の信憑性への懸念,3,4,3
1_12,選挙と野球の同時放送に対する視聴者の多様な反応と意見,3,4,3
1_13,低投票率に対する不満とその影響に関する議論,4,3,3
1_14,選挙に対する多様な関心と期待の高まり,5,3,3
1_15,衆院選に対する多様な反応と選挙制度への疑問,5,4,4
1_2,衆院選における与党の過半数割れとその影響に関する議論,5,4,4
1_3,自民・公明連立政権の過半数割れの可能性とその影響,5,4,5
1_4,立憲民主党と国民民主党の略称重複による選挙混乱と公平性への懸念,3,4,4
1_5,れいわ新選組の議席獲得に対する多様な反応と予測,5,5,4
1_6,衆院選における政権交代の可能性とその影響に関する多様な意見,5,4,4
1_7,自民党に対する批判と投票行動の多様性,5,4,4
1_8,自民党の議席減少と選挙結果への多様な反応,4,3,4
1_9,立憲民主党の躍進と選挙区ごとの動向,4,3,4
