id,label,inclusiveness_score,specificity_score,concreteness_score
1_1,石破氏の短命政権への懸念と責任問題,5,4,4
1_10,選挙結果に対する驚きと疑問の声,3,2,3
1_11,選挙結果に対する不確実性と情報の信憑性への疑念,3,4,2
1_12,選挙と野球の同時放送に対する視聴者の意見,3,4,3
1_13,低投票率に対する懸念と選挙参加の重要性,5,4,4
1_14,選挙への関心とメディア報道への反応,5,4,4
1_15,選挙結果に対する多様な反応と意見,5,4,3
1_2,衆院選における過半数獲得の不確実性とその影響,5,4,4
1_3,自民党と公明党の過半数割れに関する政治的影響と関心,5,4,4
1_4,選挙における略称の混乱と不満,2,3,3
1_5,れいわ新選組の議席増加に対する多様な反応,5,5,4
1_6,政権交代の可能性と衆院選への関心,5,4,4
1_7,自民党への批判と選挙に対する不満,4,3,3
1_8,自民党の議席減少と政局の変化に対する多様な意見,4,3,3
1_9,選挙結果と政党の地域別勢力図,5,4,5
